H,I,N
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Wife,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Own-child,White,United-States
Wife,White,El-Salvador
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Unmarried,Asian-Pac-Islander,Philippines
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,India
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,Mexico
Unmarried,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,Other,United-States
Not-in-family,White,Canada
Wife,Asian-Pac-Islander,noValueSetHere123156456
Not-in-family,White,United-States
Own-child,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,Philippines
Husband,White,United-States
Wife,Asian-Pac-Islander,South
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Other,noValueSetHere123156456
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,Black,noValueSetHere123156456
Other-relative,Black,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,Black,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Wife,Asian-Pac-Islander,Philippines
Own-child,Black,United-States
Unmarried,White,Columbia
Not-in-family,White,El-Salvador
Own-child,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Other-relative,Black,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,El-Salvador
Own-child,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,Italy
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Wife,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,Germany
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Other-relative,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Own-child,Asian-Pac-Islander,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,Mexico
Husband,White,United-States
Husband,White,United-States
Own-child,White,Mexico
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
