F,H,I,J,K,N
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Amer-Indian-Eskimo,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5178,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,3908,United-States
Never-married,Other-relative,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,Other,Female,0,Germany
Never-married,Own-child,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,Black,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,Black,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Divorced,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Widowed,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-AF-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,3325,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,Guatemala
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,594,United-States
Married-civ-spouse,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,0,Mexico
Divorced,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Vietnam
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,noValueSetHere123156456
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,99999,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,3137,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Own-child,Amer-Indian-Eskimo,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Separated,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Male,0,noValueSetHere123156456
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,Black,Female,0,noValueSetHere123156456
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3411,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3137,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,Vietnam
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Separated,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Divorced,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Other-relative,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,El-Salvador
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Taiwan
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5013,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,England
Married-civ-spouse,Husband,White,Male,0,Columbia
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Widowed,Unmarried,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,England
Divorced,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Female,0,Puerto-Rico
Divorced,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,10566,United-States
Married-civ-spouse,Husband,White,Male,0,England
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,4650,United-States
Never-married,Own-child,White,Male,0,Ireland
Never-married,Own-child,Black,Female,0,Jamaica
Separated,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,3325,Ecuador
Divorced,Unmarried,White,Female,0,Ireland
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,Black,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,China
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
