G,S
AZ,AZ_HF-4
AR,AR_AMI-8A
AL,AL_AMI-2
CA,CA_SCIP-CARD-2
CA,CA_AMI-3
AL,AL_SCIP-INF-1
AZ,AZ_AMI-1
CA,CA_AMI-7A
AL,AL_PN-4
AZ,AZ_PN-4
AK,AK_AMI-4
AL,AL_SCIP-INF-1
CA,CA_AMI-3
AZ,AZ_PN-4
AZ,AZ_HF-3
AL,AL_AMI-3
AL,AL_PN-3B
AR,AR_AMI-2
AZ,AZ_AMI-3
AZ,AZ_HF-2
AL,AL_AMI-1
CA,CA_AMI-2
AL,AL_PN-2
CA,CA_AMI-2
AL,AL_SCIP-VTE-1
AK,AK_PN-3B
AL,AL_AMI-5
AL,AL_PN-6
AZ,AZ_HF-1
CA,CA_HF-4
CA,CA_PN-4
AL,AL_PN-6
CA,CA_AMI-1
AZ,AZ_PN-5C
CA,CA_AMI-2
AL,AL_AMI-2
CA,CA_HF-3
CA,CA_AMI-1
CA,CA_SCIP-CARD-2
AZ,AZ_SCIP-INF-6
AZ,AZ_HF-4
AR,AR_AMI-8A
AR,AR_AMI-1
AZ,AZ_PN-6
CA,CA_AMI-3
CA,CA_HF-3
AL,AL_SCIP-VTE-1
CA,CA_PN-4
AL,AL_SCIP-INF-1
AL,AL_PN-3B
AL,AL_PN-2
AL,AL_SCIP-INF-3
AL,AL_SCIP-INF-2
AL,AL_AMI-3
AL,AL_HF-3
AL,AL_AMI-1
AZ,AZ_PN-6
AL,AL_PN-2
AL,AL_AMI-5
AR,AR_AMI-1
AL,AL_HF-3
AK,AK_HF-4
CA,CA_AMI-1
CA,CA_HF-4
AZ,AZ_PN-5C
AL,AL_PN-2
CA,CA_PN-6
CA,CA_HF-1
AL,AL_SCIP-INF-3
AZ,AZ_HF-1
AZ,AZ_HF-3
AR,AR_SCIP-VTE-2
CA,CA_AMI-5
AZ,AZ_PN-6
AL,AL_SCIP-VTE-2
AL,AL_SCIP-VTE-2
CA,CA_PN-6
CA,CA_PN-3B
AR,AR_SCIP-INF-4
AR,AR_HF-4
AL,AL_HF-2
CA,CA_HF-1
CA,CA_SCIP-CARD-2
AZ,AZ_PN-6
CA,CA_SCIP-CARD-2
AZ,AZ_PN-3B
CA,CA_HF-1
CA,CA_PN-5C
AZ,AZ_SCIP-INF-4
AZ,AZ_HF-1
CA,CA_PN-5C
AR,AR_PN-2
CA,CA_PN-3B
AZ,AZ_HF-1
AZ,AZ_SCIP-INF-4
AR,AR_SCIP-INF-4
AL,AL_HF-2
AR,AR_SCIP-CARD-2
AR,AR_PN-2
AZ,AZ_HF-3
AZ,AZ_SCIP-INF-4
AR,AR_SCIP-CARD-2
AR,AR_PN-2
AL,AL_SCIP-INF-3
AR,AR_SCIP-INF-4
AZ,AZ_SCIP-INF-4
CA,CA_PN-6
CA,CA_PN-5C
CA,CA_AMI-5
AZ,AZ_HF-2
AR,AR_SCIP-INF-4
AL,AL_SCIP-VTE-2
AR,AR_SCIP-INF-4
CA,CA_SCIP-CARD-2
AZ,AZ_HF-2
AR,AR_SCIP-CARD-2
AL,AL_SCIP-VTE-2
CA,CA_PN-5C
AR,AR_PN-6
AZ,AZ_PN-6
AL,AL_SCIP-INF-3
AZ,AZ_SCIP-INF-4
AL,AL_SCIP-CARD-2
AR,AR_SCIP-CARD-2
AL,AL_SCIP-INF-3
CA,CA_PN-6
CA,CA_HF-1
CA,CA_PN-5C
AZ,AZ_HF-1
AR,AR_SCIP-VTE-1
AZ,AZ_HF-3
AL,AL_SCIP-INF-3
AZ,AZ_PN-3B
AR,AR_PN-6
AR,AR_SCIP-VTE-1
AZ,AZ_SCIP-INF-4
AR,AR_SCIP-CARD-2
AL,AL_SCIP-CARD-2
AR,AR_SCIP-INF-4
CA,CA_PN-6
AZ,AZ_SCIP-INF-4
CA,CA_AMI-5
AR,AR_PN-2
CA,CA_HF-1
AR,AR_SCIP-VTE-1
AR,AR_SCIP-CARD-2
CA,CA_PN-6
AR,AR_SCIP-INF-4
CA,CA_PN-4
AR,AR_SCIP-INF-4
AL,AL_SCIP-CARD-2
AL,AL_SCIP-CARD-2
CA,CA_AMI-5
CA,CA_AMI-5
CA,CA_SCIP-CARD-2
AZ,AZ_PN-6
AR,AR_HF-4
AZ,AZ_HF-1
CA,CA_AMI-5
AR,AR_SCIP-VTE-2
AR,AR_HF-4
AZ,AZ_PN-3B
AZ,AZ_HF-1
AL,AL_SCIP-CARD-2
AR,AR_SCIP-CARD-2
AZ,AZ_PN-6
AZ,AZ_HF-1
CA,CA_AMI-5
AR,AR_PN-6
AR,AR_SCIP-INF-4
AL,AL_SCIP-CARD-2
CA,CA_PN-5C
AL,AL_SCIP-VTE-2
AZ,AZ_HF-3
AL,AL_SCIP-VTE-2
AR,AR_HF-4
AL,AL_HF-2
CA,CA_SCIP-CARD-2
AL,AL_SCIP-INF-3
AR,AR_PN-6
AL,AL_SCIP-VTE-2
AZ,AZ_HF-3
AL,AL_HF-2
AR,AR_PN-2
AL,AL_SCIP-VTE-2
CA,CA_PN-3B
AR,AR_SCIP-VTE-2
CA,CA_PN-4
CA,CA_AMI-5
CA,CA_PN-4
AL,AL_HF-2
AZ,AZ_HF-3
CA,CA_AMI-5
AR,AR_SCIP-CARD-2
AZ,AZ_SCIP-INF-4
AR,AR_SCIP-INF-4
CA,CA_PN-3B
AR,AR_SCIP-VTE-2
AL,AL_SCIP-VTE-2
AZ,AZ_PN-6
AR,AR_PN-2
CA,CA_HF-1
AR,AR_SCIP-CARD-2
CA,CA_HF-1
AR,AR_SCIP-INF-4
CA,CA_PN-3B
AR,AR_SCIP-INF-4
AZ,AZ_PN-6
AZ,AZ_HF-3
AZ,AZ_PN-6
CA,CA_HF-1
AR,AR_SCIP-VTE-2
AL,AL_SCIP-VTE-2
AZ,AZ_PN-6
AL,AL_HF-2
AR,AR_PN-2
AZ,AZ_PN-6
AZ,AZ_PN-6
AZ,AZ_HF-2
AZ,AZ_PN-6
AL,AL_HF-2
AZ,AZ_HF-3
AZ,AZ_SCIP-INF-4
AZ,AZ_PN-3B
AZ,AZ_PN-6
CA,CA_PN-6
CA,CA_PN-4
AR,AR_PN-2
CA,CA_HF-1
AZ,AZ_HF-2
AL,AL_HF-2
AR,AR_SCIP-CARD-2
CA,CA_PN-3B
AR,AR_SCIP-CARD-2
CA,CA_SCIP-CARD-2
AR,AR_PN-6
AL,AL_SCIP-CARD-2
AZ,AZ_PN-6
AR,AR_SCIP-CARD-2
CA,CA_HF-1
AR,AR_PN-2
CA,CA_PN-5C
AZ,AZ_SCIP-INF-4
AZ,AZ_HF-1
AR,AR_PN-2
AR,AR_SCIP-CARD-2
AZ,AZ_HF-3
AR,AR_PN-2
AR,AR_PN-2
AL,AL_SCIP-CARD-2
AR,AR_PN-2
AR,AR_PN-6
AR,AR_SCIP-INF-4
CA,CA_HF-1
AR,AR_SCIP-VTE-2
AL,AL_HF-2
AZ,AZ_PN-3B
CA,CA_PN-5C
CA,CA_PN-5C
AR,AR_PN-6
AR,AR_SCIP-CARD-2
CA,CA_PN-5C
CA,CA_SCIP-CARD-2
AR,AR_SCIP-VTE-2
AR,AR_SCIP-CARD-2
AR,AR_SCIP-CARD-2
AR,AR_PN-6
AR,AR_PN-6
CA,CA_PN-4
AR,AR_SCIP-VTE-1
AR,AR_HF-4
AZ,AZ_PN-6
AR,AR_SCIP-VTE-1
CA,CA_PN-6
AR,AR_HF-4
AR,AR_SCIP-VTE-2
AR,AR_HF-4
AL,AL_SCIP-CARD-2
AR,AR_PN-6
AZ,AZ_HF-2
AZ,AZ_PN-6
AL,AL_HF-2
CA,CA_PN-4
AZ,AZ_HF-2
AL,AL_HF-2
AZ,AZ_HF-1
CA,CA_HF-1
AR,AR_SCIP-CARD-2
AZ,AZ_HF-2
AR,AR_PN-6
AR,AR_SCIP-VTE-2
CA,CA_PN-3B
AR,AR_PN-6
AZ,AZ_HF-2
AL,AL_SCIP-INF-3
CA,CA_HF-1
CA,CA_SCIP-CARD-2
CA,CA_PN-6
AZ,AZ_PN-6
AL,AL_SCIP-CARD-2
AL,AL_HF-2
CA,CA_PN-5C
AL,AL_SCIP-CARD-2
CA,CA_SCIP-CARD-2
AZ,AZ_HF-3
CA,CA_SCIP-CARD-2
AL,AL_SCIP-INF-3
AL,AL_HF-2
AZ,AZ_HF-3
AL,AL_SCIP-INF-3
AL,AL_HF-2
CA,CA_SCIP-CARD-2
AZ,AZ_HF-1
CA,CA_PN-4
AZ,AZ_PN-6
AR,AR_SCIP-CARD-2
CA,CA_PN-6
CA,CA_HF-1
AR,AR_SCIP-CARD-2
CA,CA_PN-5C
AR,AR_SCIP-CARD-2
AZ,AZ_SCIP-INF-4
AR,AR_SCIP-VTE-1
CA,CA_PN-4
CA,CA_PN-4
CA,CA_PN-6
AR,AR_SCIP-VTE-1
AZ,AZ_HF-1
AZ,AZ_SCIP-INF-4
AR,AR_PN-6
AZ,AZ_SCIP-INF-4
CA,CA_PN-4
CA,CA_PN-5C
AL,AL_HF-2
AZ,AZ_SCIP-INF-4
AZ,AZ_PN-6
AR,AR_SCIP-VTE-2
AR,AR_PN-2
AR,AR_SCIP-VTE-2
AZ,AZ_PN-6
AR,AR_HF-4
AR,AR_HF-4
AR,AR_SCIP-VTE-1
AL,AL_SCIP-VTE-2
AZ,AZ_SCIP-INF-4
CA,CA_PN-3B
CA,CA_PN-4
AZ,AZ_PN-6
AR,AR_PN-2
AL,AL_HF-2
AR,AR_SCIP-VTE-2
AR,AR_SCIP-VTE-2
AZ,AZ_HF-3
AL,AL_SCIP-CARD-2
AR,AR_SCIP-CARD-2
AZ,AZ_HF-2
AZ,AZ_PN-3B
CA,CA_PN-3B
AR,AR_SCIP-VTE-2
AL,AL_SCIP-VTE-2
CA,CA_PN-3B
AL,AL_SCIP-VTE-2
CA,CA_PN-6
CA,CA_SCIP-CARD-2
CA,CA_PN-4
AZ,AZ_HF-2
AZ,AZ_HF-2
AL,AL_SCIP-VTE-2
AZ,AZ_PN-6
AR,AR_PN-6
CA,CA_HF-1
CA,CA_PN-6
AL,AL_HF-2
AZ,AZ_SCIP-INF-4
AZ,AZ_PN-3B
AZ,AZ_SCIP-INF-4
AR,AR_SCIP-VTE-2
AZ,AZ_PN-3B
AR,AR_SCIP-CARD-2
AR,AR_PN-2
AL,AL_SCIP-CARD-2
CA,CA_AMI-5
CA,CA_PN-5C
AZ,AZ_PN-6
CA,CA_HF-1
AL,AL_SCIP-INF-3
AR,AR_SCIP-CARD-2
CA,CA_AMI-5
AZ,AZ_HF-3
CA,CA_PN-4
AL,AL_HF-2
AR,AR_SCIP-CARD-2
AR,AR_SCIP-VTE-1
CA,CA_AMI-5
AL,AL_SCIP-VTE-2
AR,AR_HF-4
AR,AR_SCIP-VTE-1
AR,AR_SCIP-INF-4
AR,AR_SCIP-CARD-2
AZ,AZ_PN-6
AZ,AZ_PN-3B
AL,AL_SCIP-VTE-2
CA,CA_PN-3B
AL,AL_HF-2
AZ,AZ_PN-6
AZ,AZ_HF-3
AZ,AZ_HF-1
AL,AL_SCIP-CARD-2
AZ,AZ_PN-6
AZ,AZ_HF-2
AR,AR_SCIP-VTE-1
AZ,AZ_HF-2
AZ,AZ_HF-1
AZ,AZ_HF-3
CA,CA_PN-5C
AR,AR_SCIP-INF-4
AZ,AZ_HF-2
AR,AR_HF-4
AR,AR_PN-2
AR,AR_PN-2
AZ,AZ_PN-6
AR,AR_SCIP-INF-4
AZ,AZ_HF-1
CA,CA_PN-6
AZ,AZ_HF-2
AR,AR_SCIP-INF-4
AZ,AZ_PN-6
AR,AR_PN-2
AR,AR_SCIP-VTE-2
AR,AR_SCIP-CARD-2
AZ,AZ_PN-6
AR,AR_PN-6
AR,AR_SCIP-CARD-2
CA,CA_PN-6
AZ,AZ_HF-3
CA,CA_PN-4
AL,AL_SCIP-INF-3
CA,CA_PN-3B
AZ,AZ_SCIP-INF-4
CA,CA_AMI-5
AR,AR_SCIP-VTE-1
AR,AR_SCIP-INF-4
AR,AR_SCIP-INF-4
CA,CA_PN-6
AR,AR_SCIP-CARD-2
AR,AR_SCIP-INF-4
AZ,AZ_HF-3
AZ,AZ_HF-1
AZ,AZ_PN-6
AZ,AZ_HF-3
CA,CA_PN-3B
AL,AL_SCIP-CARD-2
AR,AR_SCIP-VTE-2
CA,CA_PN-6
AZ,AZ_PN-3B
AR,AR_PN-6
CA,CA_PN-3B
CA,CA_AMI-5
AZ,AZ_HF-2
AR,AR_PN-2
CA,CA_HF-1
AR,AR_SCIP-VTE-1
AR,AR_SCIP-CARD-2
AR,AR_SCIP-CARD-2
AL,AL_SCIP-CARD-2
CA,CA_PN-3B
AR,AR_SCIP-CARD-2
CA,CA_HF-1
CA,CA_AMI-5
AZ,AZ_PN-6
AR,AR_SCIP-VTE-2
CA,CA_PN-3B
AZ,AZ_PN-3B
AR,AR_PN-2
CA,CA_PN-5C
CA,CA_PN-6
AZ,AZ_SCIP-INF-4
AL,AL_HF-2
AL,AL_SCIP-INF-3
CA,CA_PN-6
CA,CA_PN-4
AR,AR_PN-6
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
CA,CA_PN-5C
AL,AL_HF-4
AZ,AZ_SCIP-INF-4
AL,AL_PN-2
AL,AL_PN-2
AZ,AZ_SCIP-INF-4
AZ,AZ_SCIP-INF-4
CA,CA_HF-3
AL,AL_PN-5C
CA,CA_AMI-2
AL,AL_PN-7
AL,AL_SCIP-INF-1
CA,CA_PN-6
CA,CA_PN-2
AZ,AZ_PN-6
AL,AL_HF-4
CA,CA_AMI-2
AL,AL_PN-5C
CA,CA_PN-3B
CA,CA_SCIP-CARD-2
AZ,AZ_PN-6
CA,CA_AMI-2
CA,CA_PN-2
AL,AL_PN-5C
CA,CA_SCIP-CARD-2
CA,CA_PN-2
CA,CA_HF-3
CA,CA_PN-6
AL,AL_PN-5C
CA,CA_SCIP-CARD-2
CA,CA_HF-3
AL,AL_PN-7
AK,AK_PN-5C
AL,AL_HF-4
CA,CA_PN-5C
AL,AL_HF-4
AZ,AZ_HF-1
AL,AL_SCIP-INF-2
AZ,AZ_HF-1
AL,AL_PN-7
CA,CA_SCIP-CARD-2
AZ,AZ_SCIP-INF-4
AZ,AZ_PN-6
CA,CA_PN-3B
AL,AL_SCIP-VTE-1
CA,CA_HF-3
AK,AK_PN-5C
CA,CA_PN-6
CA,CA_AMI-2
CA,CA_HF-3
CA,CA_PN-5C
CA,CA_PN-3B
CA,CA_AMI-2
CA,CA_PN-2
AL,AL_SCIP-VTE-1
AL,AL_PN-5C
AL,AL_PN-7
CA,CA_AMI-2
AL,AL_PN-5C
CA,CA_PN-6
AL,AL_HF-4
AL,AL_PN-7
AL,AL_PN-2
AZ,AZ_PN-6
AZ,AZ_SCIP-INF-4
AL,AL_SCIP-INF-2
AZ,AZ_SCIP-INF-4
AL,AL_PN-5C
CA,CA_PN-2
AL,AL_PN-2
CA,CA_PN-2
CA,CA_PN-6
CA,CA_AMI-2
CA,CA_HF-3
AL,AL_PN-7
AL,AL_SCIP-INF-1
CA,CA_PN-5C
CA,CA_HF-3
AZ,AZ_HF-1
AL,AL_SCIP-VTE-1
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
CA,CA_PN-5C
AZ,AZ_PN-6
AZ,AZ_SCIP-INF-4
AZ,AZ_SCIP-INF-4
CA,CA_SCIP-CARD-2
AL,AL_SCIP-INF-2
AL,AL_PN-5C
AL,AL_PN-2
AL,AL_PN-5C
AZ,AZ_PN-6
CA,CA_PN-5C
AL,AL_SCIP-VTE-1
AL,AL_PN-5C
AL,AL_SCIP-INF-2
CA,CA_AMI-2
AL,AL_HF-4
AL,AL_PN-2
AK,AK_PN-5C
AZ,AZ_HF-1
AK,AK_PN-5C
AZ,AZ_HF-1
CA,CA_HF-3
AL,AL_PN-5C
AL,AL_SCIP-INF-2
CA,CA_PN-5C
CA,CA_PN-6
AL,AL_SCIP-VTE-1
AK,AK_PN-5C
AZ,AZ_HF-1
AZ,AZ_SCIP-INF-4
AL,AL_SCIP-VTE-1
CA,CA_PN-3B
AL,AL_PN-7
AK,AK_PN-5C
CA,CA_PN-2
CA,CA_PN-6
AZ,AZ_PN-6
AZ,AZ_SCIP-INF-4
CA,CA_PN-6
AK,AK_PN-5C
AL,AL_PN-5C
AK,AK_PN-5C
CA,CA_PN-3B
AL,AL_PN-2
AL,AL_PN-5C
AL,AL_SCIP-INF-2
AL,AL_SCIP-VTE-1
CA,CA_AMI-2
AZ,AZ_SCIP-INF-4
CA,CA_PN-6
AL,AL_PN-5C
AL,AL_SCIP-INF-2
AL,AL_PN-2
AL,AL_SCIP-INF-1
AL,AL_HF-4
CA,CA_PN-6
AZ,AZ_HF-1
CA,CA_SCIP-CARD-2
AL,AL_SCIP-VTE-1
CA,CA_PN-2
CA,CA_PN-5C
CA,CA_PN-5C
AZ,AZ_PN-6
CA,CA_HF-3
AZ,AZ_HF-1
CA,CA_SCIP-CARD-2
CA,CA_PN-3B
AL,AL_SCIP-INF-1
AK,AK_PN-5C
AL,AL_HF-4
AL,AL_HF-4
AZ,AZ_SCIP-INF-4
CA,CA_AMI-2
AL,AL_SCIP-VTE-1
AL,AL_SCIP-INF-1
CA,CA_SCIP-CARD-2
CA,CA_AMI-2
CA,CA_AMI-2
CA,CA_SCIP-CARD-2
CA,CA_SCIP-CARD-2
AL,AL_PN-7
AL,AL_HF-4
CA,CA_PN-2
AK,AK_PN-5C
CA,CA_SCIP-CARD-2
AL,AL_SCIP-VTE-1
AL,AL_PN-5C
AK,AK_PN-5C
CA,CA_PN-3B
AL,AL_PN-2
AL,AL_SCIP-INF-1
AL,AL_SCIP-INF-1
CA,CA_PN-6
CA,CA_PN-2
AZ,AZ_SCIP-INF-4
AL,AL_PN-7
AZ,AZ_SCIP-INF-4
CA,CA_HF-3
CA,CA_SCIP-CARD-2
AL,AL_SCIP-VTE-1
CA,CA_SCIP-CARD-2
CA,CA_SCIP-CARD-2
AL,AL_PN-7
CA,CA_PN-6
AL,AL_SCIP-INF-2
AZ,AZ_HF-1
CA,CA_PN-6
AL,AL_PN-2
AL,AL_PN-2
AK,AK_PN-5C
CA,CA_PN-3B
CA,CA_HF-3
CA,CA_PN-6
AK,AK_PN-5C
CA,CA_AMI-2
CA,CA_PN-3B
AL,AL_PN-2
CA,CA_HF-3
AL,AL_SCIP-VTE-1
AL,AL_PN-7
AL,AL_HF-4
CA,CA_PN-5C
CA,CA_PN-6
AK,AK_PN-5C
AL,AL_SCIP-INF-1
CA,CA_PN-5C
AZ,AZ_HF-1
CA,CA_HF-3
AL,AL_PN-2
AL,AL_PN-7
AK,AK_PN-5C
AL,AL_PN-2
AL,AL_PN-5C
CA,CA_SCIP-CARD-2
AL,AL_SCIP-VTE-1
CA,CA_AMI-2
CA,CA_PN-5C
AL,AL_SCIP-INF-1
CA,CA_HF-3
CA,CA_PN-3B
AK,AK_PN-5C
CA,CA_HF-3
CA,CA_PN-6
CA,CA_SCIP-CARD-2
AL,AL_HF-4
AZ,AZ_PN-6
AL,AL_PN-5C
AL,AL_PN-5C
CA,CA_PN-6
AL,AL_PN-5C
AZ,AZ_SCIP-INF-4
AL,AL_PN-7
CA,CA_HF-3
AL,AL_PN-5C
AL,AL_HF-4
CA,CA_PN-3B
CA,CA_HF-3
CA,CA_PN-6
AZ,AZ_PN-6
CA,CA_PN-5C
AZ,AZ_HF-1
AL,AL_SCIP-INF-2
CA,CA_PN-6
AZ,AZ_HF-1
AL,AL_SCIP-VTE-1
CA,CA_SCIP-CARD-2
CA,CA_PN-6
CA,CA_PN-6
CA,CA_PN-2
AL,AL_HF-4
CA,CA_HF-3
AL,AL_PN-5C
CA,CA_PN-3B
AL,AL_PN-5C
AL,AL_HF-4
AL,AL_PN-5C
CA,CA_PN-6
CA,CA_PN-6
AL,AL_HF-4
AZ,AZ_SCIP-INF-4
CA,CA_PN-6
CA,CA_PN-6
AL,AL_SCIP-INF-1
AL,AL_SCIP-VTE-1
CA,CA_PN-5C
CA,CA_PN-5C
AZ,AZ_PN-6
CA,CA_PN-5C
CA,CA_PN-2
CA,CA_HF-3
AL,AL_PN-2
AL,AL_PN-7
AL,AL_PN-2
CA,CA_PN-2
CA,CA_PN-6
CA,CA_PN-6
CA,CA_PN-6
AL,AL_PN-2
AL,AL_SCIP-VTE-1
AZ,AZ_HF-1
AL,AL_PN-5C
AL,AL_SCIP-INF-2
AL,AL_PN-2
CA,CA_PN-5C
AK,AK_PN-5C
CA,CA_AMI-2
AL,AL_SCIP-INF-2
CA,CA_PN-6
CA,CA_PN-6
CA,CA_SCIP-CARD-2
AZ,AZ_PN-6
AL,AL_PN-7
AL,AL_PN-5C
CA,CA_PN-5C
CA,CA_PN-2
CA,CA_PN-5C
AZ,AZ_SCIP-INF-4
CA,CA_PN-5C
CA,CA_PN-5C
CA,CA_SCIP-CARD-2
CA,CA_PN-6
CA,CA_AMI-2
CA,CA_SCIP-CARD-2
AL,AL_PN-5C
AL,AL_PN-5C
CA,CA_PN-6
CA,CA_PN-6
AZ,AZ_PN-6
AK,AK_PN-5C
AL,AL_PN-2
AL,AL_PN-5C
AL,AL_PN-2
CA,CA_HF-3
AL,AL_PN-5C
AL,AL_SCIP-INF-2
CA,CA_PN-3B
AL,AL_PN-5C
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AL,AL_SCIP-INF-2
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
AZ,AZ_SCIP-INF-1
CA,CA_SCIP-INF-4
CA,CA_PN-7
CA,CA_HF-3
AR,AR_PN-5C
AR,AR_PN-5C
AL,AL_HF-3
CA,CA_SCIP-INF-6
CA,CA_PN-3B
AZ,AZ_PN-3B
AL,AL_PN-3B
AZ,AZ_PN-3B
AZ,AZ_PN-2
AZ,AZ_PN-2
CA,CA_HF-3
AL,AL_PN-3B
AR,AR_PN-2
AR,AR_PN-5C
CA,CA_HF-4
AZ,AZ_PN-7
AL,AL_PN-3B
AZ,AZ_PN-2
CA,CA_SCIP-INF-6
AZ,AZ_PN-2
AZ,AZ_PN-6
AZ,AZ_PN-2
AZ,AZ_PN-3B
AZ,AZ_PN-3B
CA,CA_HF-4
CA,CA_SCIP-INF-6
AL,AL_HF-3
AL,AL_PN-3B
AL,AL_PN-3B
AL,AL_PN-3B
CA,CA_HF-3
AL,AL_PN-3B
AL,AL_HF-3
AR,AR_PN-5C
AL,AL_PN-5C
CA,CA_HF-3
CA,CA_PN-7
AZ,AZ_PN-3B
AR,AR_AMI-5
AZ,AZ_PN-6
AL,AL_HF-3
AZ,AZ_PN-6
AL,AL_PN-3B
AZ,AZ_PN-7
AL,AL_HF-3
CA,CA_PN-6
AR,AR_PN-5C
AZ,AZ_PN-3B
AZ,AZ_PN-3B
AZ,AZ_PN-7
AL,AL_PN-5C
CA,CA_PN-6
AZ,AZ_PN-3B
AL,AL_PN-3B
CA,CA_PN-7
AZ,AZ_PN-3B
AR,AR_PN-5C
AZ,AZ_PN-3B
AL,AL_SCIP-INF-1
AZ,AZ_PN-3B
AZ,AZ_PN-2
AL,AL_PN-5C
AZ,AZ_PN-3B
CA,CA_SCIP-INF-6
AZ,AZ_PN-2
AZ,AZ_PN-3B
CA,CA_SCIP-INF-6
CA,CA_HF-3
CA,CA_SCIP-INF-4
AZ,AZ_PN-3B
CA,CA_PN-6
AL,AL_HF-3
AR,AR_PN-5C
AR,AR_PN-5C
AR,AR_AMI-5
CA,CA_SCIP-INF-6
AL,AL_HF-3
CA,CA_HF-3
CA,CA_PN-7
AR,AR_PN-5C
AZ,AZ_PN-3B
AZ,AZ_PN-7
AZ,AZ_PN-3B
CA,CA_HF-3
AZ,AZ_PN-7
CA,CA_HF-3
CA,CA_PN-7
CA,CA_PN-6
AL,AL_PN-5C
CA,CA_HF-3
CA,CA_PN-6
AR,AR_AMI-5
AL,AL_PN-3B
AR,AR_AMI-5
CA,CA_HF-3
CA,CA_PN-7
AZ,AZ_PN-6
AR,AR_PN-2
AZ,AZ_PN-3B
AL,AL_HF-3
CA,CA_PN-7
AL,AL_HF-3
CA,CA_PN-3B
AL,AL_SCIP-INF-1
AL,AL_PN-3B
AL,AL_SCIP-INF-1
AR,AR_PN-2
CA,CA_HF-3
AL,AL_SCIP-INF-1
AL,AL_PN-3B
AZ,AZ_PN-3B
AR,AR_AMI-5
AL,AL_HF-3
AR,AR_PN-5C
CA,CA_PN-7
AR,AR_PN-2
CA,CA_PN-6
CA,CA_SCIP-INF-6
CA,CA_SCIP-INF-6
AZ,AZ_PN-3B
AZ,AZ_PN-3B
AL,AL_PN-5C
AZ,AZ_PN-3B
AL,AL_SCIP-INF-1
AR,AR_PN-5C
AR,AR_PN-2
CA,CA_HF-3
CA,CA_HF-3
AZ,AZ_PN-3B
CA,CA_PN-7
AR,AR_AMI-5
CA,CA_PN-7
AL,AL_PN-5C
AL,AL_PN-3B
AL,AL_HF-3
CA,CA_PN-6
CA,CA_PN-7
AZ,AZ_PN-2
AR,AR_PN-2
CA,CA_PN-3B
CA,CA_PN-7
CA,CA_HF-4
AL,AL_PN-5C
AR,AR_PN-5C
AL,AL_SCIP-INF-1
CA,CA_PN-7
CA,CA_PN-7
AL,AL_PN-5C
CA,CA_PN-6
AZ,AZ_PN-3B
CA,CA_PN-7
CA,CA_SCIP-INF-6
AZ,AZ_PN-3B
AL,AL_PN-3B
AR,AR_PN-2
CA,CA_PN-7
AZ,AZ_PN-3B
CA,CA_HF-3
CA,CA_SCIP-INF-6
AL,AL_HF-3
CA,CA_HF-3
CA,CA_PN-7
AZ,AZ_PN-3B
AL,AL_PN-3B
AZ,AZ_PN-7
AZ,AZ_PN-3B
CA,CA_PN-7
AR,AR_PN-5C
CA,CA_PN-3B
AR,AR_AMI-5
CA,CA_SCIP-INF-4
AZ,AZ_PN-3B
CA,CA_PN-7
CA,CA_HF-3
AR,AR_PN-5C
AZ,AZ_PN-3B
CA,CA_PN-6
AL,AL_SCIP-INF-1
AZ,AZ_PN-7
AR,AR_PN-2
CA,CA_PN-7
CA,CA_HF-4
AR,AR_PN-5C
AL,AL_PN-3B
AR,AR_PN-5C
AL,AL_PN-3B
AZ,AZ_PN-3B
AZ,AZ_PN-2
AL,AL_PN-5C
CA,CA_PN-7
CA,CA_PN-6
AL,AL_SCIP-INF-1
AR,AR_PN-5C
CA,CA_SCIP-INF-6
CA,CA_PN-3B
