B,D,E,F,G,H,I,J,N,O
Private,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
Private,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
Federal-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States,<=50K
Private,HS-grad,9,Widowed,Sales,Unmarried,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
State-gov,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,United-States,<=50K
Private,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,Black,Male,United-States,<=50K
Local-gov,12th,8,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Wife,White,Female,United-States,>50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,Mexico,<=50K
Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Other-relative,Black,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,Philippines,<=50K
Private,Bachelors,13,Never-married,Sales,Other-relative,Black,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Tech-support,Unmarried,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Handlers-cleaners,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
State-gov,Masters,14,Never-married,Prof-specialty,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,United-States,<=50K
Private,9th,5,Divorced,Handlers-cleaners,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Never-married,noValueSetHere123156456,Own-child,Black,Female,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Handlers-cleaners,Other-relative,Black,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K
Private,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,United-States,<=50K
Private,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Assoc-voc,11,Widowed,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Female,United-States,<=50K
Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Priv-house-serv,Unmarried,White,Female,Cuba,<=50K
Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-AF-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Separated,Tech-support,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
State-gov,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
Private,5th-6th,3,Never-married,Adm-clerical,Not-in-family,White,Female,Mexico,<=50K
State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Local-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Bachelors,13,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Priv-house-serv,Wife,White,Female,noValueSetHere123156456,<=50K
State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,China,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Protective-serv,Unmarried,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,12th,8,Never-married,Transport-moving,Own-child,Black,Male,United-States,<=50K
Private,Some-college,10,Never-married,Transport-moving,Not-in-family,Black,Male,United-States,<=50K
Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,Poland,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,United-States,<=50K
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,Philippines,>50K
Private,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Mexico,<=50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,United-States,<=50K
Local-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
State-gov,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,China,<=50K
Self-emp-inc,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,12th,8,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,9th,5,Never-married,Sales,Own-child,Other,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Separated,Machine-op-inspct,Other-relative,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,10th,6,Divorced,Other-service,Not-in-family,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Local-gov,Masters,14,Never-married,Prof-specialty,Unmarried,White,Female,United-States,>50K
Local-gov,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Greece,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,Philippines,<=50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Cuba,>50K
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
State-gov,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Widowed,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Married-spouse-absent,Sales,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,Puerto-Rico,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,11th,7,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Portugal,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
